,지역,년,주,주 평균 일교차(°C),전날 대비 최고 기온 상승 최대 변화(°C),전날 대비 최저 기온 하강 최대 변화(°C),주평균 최대 풍속(m/s),주평균 평균 풍속(m/s),SO2_최대값,CO_최대값,O3_최대값,NO2_최대값,PM10_최대값,PM25_최대값,풍향(N~NE),풍향(NE~E),풍향(E~SE),풍향(SE~S),풍향(S~SW),풍향(SW~W),풍향(W~NW),풍향(NW~N),환자 수,100만명 당 환자수,주 평균 기온(°C) 5도 미만,주 평균 기온(°C) 5도 이상 10도 미만,주 평균 기온(°C) 10도 이상 15도 미만,주 평균 기온(°C) 15도 이상 20도 미만,주 평균 기온(°C) 20도 이상 25도 미만,주 평균 기온(°C) 25도 이상,상대습도 (건조),상대습도 (적정),상대습도 (습함)
543,서울,2021,28,8.200000000000001,5.0,2.5,7.4,2.0285714285714285,0.01257142857142857,0.7571428571428571,0.09457142857142857,0.04471428571428571,63.42857142857143,36.57142857142857,0,1,0,4,0,1,1,0,281.0,29.54952847996174,0,0,0,0,0,1,0,1,0
544,울산,2021,28,7.4,1.4000000000000021,2.0,4.3,1.5857142857142856,0.06871428571428571,1.0857142857142856,0.075,0.04414285714285714,61.57142857142857,37.285714285714285,0,2,2,1,1,0,1,0,21.0,18.723386044122996,0,0,0,0,0,1,0,0,1
545,인천,2021,28,6.461904761904762,3.5666666666666735,1.5,8.5,2.2142857142857144,0.007,0.7571428571428571,0.09671428571428572,0.04157142857142857,66.0,39.714285714285715,0,1,1,4,0,1,0,0,95.0,32.22113876287786,0,0,0,0,0,1,0,0,1
546,광주,2021,29,8.657142857142857,4.0,1.4000000000000021,3.9,1.3857142857142857,0.007,0.8428571428571429,0.09142857142857143,0.038142857142857145,46.142857142857146,34.142857142857146,0,5,0,2,0,0,0,0,36.0,24.97206250507245,0,0,0,0,0,1,0,1,0
547,대구,2021,29,8.742857142857142,2.299999999999997,1.0,6.0,2.4857142857142853,0.0064285714285714285,0.6428571428571429,0.06914285714285714,0.03157142857142857,55.714285714285715,26.571428571428573,0,2,4,1,0,0,0,0,75.0,31.44110954417937,0,0,0,0,0,1,0,1,0
548,대전,2021,29,8.885714285714286,3.1999999999999993,1.6999999999999993,5.8,1.7857142857142858,0.004,0.5142857142857143,0.057,0.020999999999999998,45.857142857142854,23.428571428571427,0,0,0,7,0,0,0,0,60.0,41.31517210179232,0,0,0,0,0,1,0,1,0
549,부산,2021,29,6.057142857142857,2.6999999999999993,1.3000000000000007,4.5,2.5,0.008142857142857143,0.6142857142857142,0.09585714285714286,0.05442857142857143,73.28571428571429,49.0,0,7,0,0,0,0,0,0,87.0,25.967203720175025,0,0,0,0,0,1,0,1,0
550,서울,2021,29,8.714285714285714,3.4999999999999964,1.6999999999999993,4.9,1.8,0.015571428571428571,0.7714285714285715,0.12200000000000001,0.055285714285714285,75.71428571428571,43.142857142857146,0,1,0,4,0,1,0,1,260.0,27.341200728790223,0,0,0,0,0,1,0,1,0
551,울산,2021,29,6.585714285714287,2.0,2.1000000000000014,4.3,1.7285714285714284,0.03257142857142857,0.7571428571428571,0.06057142857142857,0.028999999999999998,47.857142857142854,30.571428571428573,0,6,0,0,0,0,0,1,35.0,31.205643406871662,0,0,0,0,0,1,0,0,1
552,인천,2021,29,7.933333333333332,2.1999999999999993,1.1333333333333293,4.4,1.9000000000000001,0.006714285714285714,0.8285714285714286,0.12571428571428572,0.056,64.42857142857143,45.714285714285715,0,0,0,1,0,6,0,0,104.0,35.273667698308394,0,0,0,0,0,1,0,1,0
553,광주,2021,30,9.071428571428571,1.5,1.6999999999999993,4.7,1.4142857142857144,0.018285714285714287,1.0571428571428572,0.108,0.03271428571428571,57.0,36.57142857142857,0,1,0,1,5,0,0,0,26.0,18.035378475885658,0,0,0,0,0,1,0,1,0
554,대구,2021,30,11.014285714285714,1.3000000000000043,1.9000000000000021,6.4,1.8857142857142857,0.005571428571428572,0.6,0.10028571428571428,0.03414285714285714,46.857142857142854,31.571428571428573,0,2,4,0,0,1,0,0,67.0,28.087391192800236,0,0,0,0,0,1,0,1,0
555,대전,2021,30,9.542857142857144,1.3000000000000043,2.3000000000000007,4.3,1.4428571428571428,0.005571428571428572,0.6,0.07742857142857143,0.018714285714285715,49.714285714285715,33.57142857142857,0,0,0,3,1,3,0,0,62.0,42.692344505185396,0,0,0,0,0,1,0,1,0
556,부산,2021,30,5.942857142857143,2.0,0.7999999999999972,6.8,2.8714285714285714,0.006714285714285714,0.6142857142857142,0.12128571428571429,0.04742857142857143,84.42857142857143,46.0,0,1,2,4,0,0,0,0,81.0,24.176362084300887,0,0,0,0,0,1,0,1,0
